date,pm
2020-01-05,3
2020-01-05,3
2020-01-05,0
2020-01-05,2
2020-01-05,18
2020-01-05,0
2020-01-05,2
2020-01-05,2
2020-01-05,2
2020-01-05,0
2020-01-05,2
2020-01-05,2
2020-01-05,2
2020-01-05,3
2020-01-05,2
2020-01-05,0
2020-01-05,2
2020-01-05,2
2020-01-05,3
2020-01-05,3
2020-01-05,3
2020-01-05,2
2020-01-05,2
2020-01-05,2
2020-01-05,3
2020-01-05,2
2020-01-05,2
2020-01-05,3
2020-01-05,0
2020-01-05,2
2020-01-05,3
2020-01-05,2
2020-01-05,2
2020-01-05,2
2020-01-05,3
2020-01-05,2
2020-01-05,0
2020-01-05,1
2020-01-05,0
2020-01-05,0
2020-01-04,0
2020-01-04,1
2020-01-04,1
2020-01-04,0
2020-01-03,1
2020-01-03,0
2020-01-03,0
2020-01-03,0
2020-01-02,1
2020-01-02,0
2020-01-02,1
2020-01-02,0
2020-01-02,1
2020-01-02,0
2020-01-02,0
2020-01-01,0
2020-01-01,1
2020-01-01,0
2020-01-01,1
2020-01-01,0
2020-01-01,1
2020-01-01,1
2020-01-01,0
2020-01-01,0
2020-01-01,0
2019-12-31,1
2019-12-31,1
2019-12-31,1
2019-12-31,2
2019-12-30,0
2019-12-30,1
2019-12-30,12
2019-12-30,405
2019-12-30,0
2019-12-29,13
2019-12-29,1
2019-12-29,1
2019-12-29,10
2019-12-29,0
2019-12-29,1
2019-12-29,1
2019-12-29,1
2019-12-29,1
2019-12-29,0
2019-12-29,1
2019-12-29,1
2019-12-29,7
2019-12-29,0
2019-12-29,3
2019-12-29,0
2019-12-29,8
2019-12-29,18
2019-12-29,18
2019-12-29,18
2019-12-29,18
2019-12-29,18
2019-12-29,18
2019-12-29,18
2019-12-27,18
2019-12-27,18
2019-12-26,18
2019-12-26,18
2019-12-25,6
2019-12-25,6
2019-12-25,6
2019-12-25,6
2019-12-25,6
2019-12-25,6
2019-12-25,6
2019-12-25,6
2019-12-24,6
2019-12-24,6
2019-12-23,6
2019-12-23,6
2019-12-22,10
2019-12-22,10
2019-12-22,10
2019-12-21,10
2019-12-21,12
2019-12-20,9
